Key,Group name,en,cz,ru,ua
,Main Menu Bar,,,,
,File Menu,,,,
File,,,Soubor,Файл,Файл
New,,,Nová scéna,Новая Сцена,Нова сцена
Open,,,Otevřít,Открыть,Відкрити
Recent,,,Nedávné,Недавние,Нещодавні
Save,,,Uložit,Сохранить,Зберегти
Save As,,,Uložit jako,Сохранить Как,Зберегти як
Manage Models,,,Správa modelů,Управление Моделями,Керування моделями
Exit,,,Ukončit,Выход,Вихід
,Edit Menu,,,,
Edit,,,Úpravy,Правка,Редагування
Undo,,,Zpět,Отменить,Скасувати
Redo,,,Vpřed,Вернуть,Повернути
Style Editor,,,Editor vzhledu,Редактор стиля,Редактор стилю
Preferences,,,Nastavení,Настройки,Налаштування
Change Language,,,Změnit jazyk,Изменить Язык,Змінити мову
,Windows Menu,,,,
Windows,,,Okna,Окна,Вікна
Start window,,,Úvodní okno,Начальное окно,Початкове вікно
Tutorial window,,,Okno tutoriálu,Учебное окно,Навчальне вікно
Scene view window,,,Okno náhledu scény,Окно просмотра сцены,Вікно перегляду сцени
Workspace window,,,Okno pracovní plochy,Окно рабочего пространства,Вікно робочого простору
Console window,,,Konzolové okno,Консольное окно,Консольне вікно
Log window,,,Logovací okno,Журнал,Журнал
Layouts,,,Rozložení,Компоновка,Компонування
Layouts As Submenu,,,Rozložení jako podnabídku,Компоновка Как Подменю,Компонування Як Підменю
,Tutorial Menu,,,,
Tutorials,,,Tutoriály,Туториалы,Туторіали
Reload,,,Znovu načíst,Перезагрузить,Перезавантажити
,Help Menu,,,,
Help,,,Nápověda,Помощь,Допомога
Description,,,Popis,Описание,Опис
About,,,O programu,О программе,Про програму
Show ImGui demo window,,,Zobrazit ukázkové okno ImGui,Показать окно демонстрации ImGui,Показати вікно демонстрації ImGui
Debug,,,Ladění,Отладка,Налагодження
,Tutorial window,,,,
Tutorial,,,Tutoriál,Туториал,Туторіал
No tutorial,,,Žádný tutoriál,Нет туториала,Немає туторіалу
Empty tutorial,,,Prázdný tutoriál,Пустой туториал,Порожній туторіал
Open Start Menu,,,Otevřít úvodní menu,Открыть Начальное Меню,Відкрити початкове меню
< Back,,,< Zpět,< Назад,< Назад
< Start Menu,,, < Úvodní menu,< Начальное Меню,< Початкове меню
Next,,,Dále,Далее,Далі
Finish,,,Dokončit,Завершить,Завершити
Submit,,,Odeslat,Отправить,Надіслати
Incorrect!,,,Nesprávně!,Неверно!,Неправильно!
Correct!,,,Správně!,Верно!,Правильно!
,Scene view window,,,,
Scene View,,,Náhled scény,Просмотр Сцены,Перегляд сцени
,Settings Menu,,,,
Settings,,,Nastavení,Настройки,Налаштування
Scene,,,Scéna,Сцена,Сцена
World space lighting,,,Světové osvětlení,Мировое освещение,Світове освітлення
Manipulators,,,Manipulátory,Манипуляторы,Маніпулятори
Show manipulators,,,Zobrazit manipulátory,Показать манипуляторы,Показати маніпулятори
Size,,,Velikost,Размер,Розмір
MSAA,,,MSAA,MSAA,MSAA
OFF,,,Vypnuto,Выкл,Вимкн.
Highlight,,,Zvýraznění,Выделение,Виділення
Ultra,,,Ultra,Ультра,Ультра
High,,,Vysoké,Высокое,Високе
Medium,,,Střední,Среднее,Середнє
Low,,,Nízké,Низкое,Низьке
Lowest,,,Minimální,Минимальное,Мінімальне
Transparency,,,Průhlednost,Прозрачность,Прозорість
Use WBOIT,,,Použít WBOIT,Использовать WBOIT,Використовувати WBOIT
WBOIT weight function,,,Váhová funkce WBOIT,Функция веса WBOIT,Функція ваги WBOIT
Reload shaders,,,Znovu načíst shadery,Перезагрузить шейдеры,Перезавантажити шейдери
,View Menu,,,,
View,,,Zobrazení,Вид,Вигляд
Orbit camera,,,Orbitální kamera,Орбитальная камера,Орбітальна камера
Trackball camera,,,Trackball kamera,Камера трекбола,Камера трекбола
Smooth scroll,,,Plynulé posouvání,Плавная прокрутка,Плавне прокручування
Camera fov,,,Fov kamery,Поле зрения камеры,Поле зору камери
Show grid,,,Zobrazit mřížku,Показать сетку,Показати сітку
Viewpoint right,,,Pohled zprava,Вид справа,Вигляд справа
Viewpoint left,,,Pohled zleva,Вид слева,Вигляд зліва
Viewpoint top,,,Pohled shora,Вид сверху,Вигляд зверху
Viewpoint bottom,,,Pohled zdola,Вид снизу,Вигляд знизу
Viewpoint front,,,Pohled zepředu,Вид спереди,Вигляд спереду
Viewpoint back,,,Pohled zezadu,Вид сзади,Вигляд ззаду
Center camera on selection,,,Vycentrovat kameru na výběr,Центрировать камеру на выделении,Центрувати камеру на вибраному
Center camera on scene,,,Vycentrovat kameru na scénu,Центрировать камеру на сцене,Центрувати камеру на сцені
Show objects,,,Zobrazit objekty,Показать объекты,Показати об'єкти
Show axes,,,Zobrazit osy,Показать оси,Показати осі
Show cameras,,,Zobrazit kamery,Показать камеры,Показати камери
Show frustums,,,Zobrazit frusta,Показать усеченные пирамиды,Показати фруструми
Object visibility toggle,,,Přepnout viditelnost objektů,Переключатель видимости объекта,Перемикач видимості об'єкта
Object visibility,,,Viditelnost objektu,Видимость объекта,Видимість об'єкта
Objects,,,Objekty,Объекты,Об'єкти
Axes,,,Osy,Оси,Осі
Grid,,,Mřížka,Сетка,Сітка
Cameras,,,Kamery,Камеры,Камери
Frustums,,,Frusta,Усеченная пирамида,Фруструми
Toggle world lighting,,,Přepnout světové osvětlení,Переключить мировое освещение,Перемкнути світове освітлення
Toggle manipulators,,,Přepnout manipulátory,Переключить манипуляторы,Перемкнути маніпулятори
,Workspace window,,,,
Workspace,,,Pracovní plocha,Рабочее Пространство,Робочий простір
,Add Menu,,,,
Add,,,Přidat,Добавить,Додати
